0,30.44
1,69.37
2,835.74
3,81.05
4,361.60
5,292.50
6,288.30
7,370.00
8,389.40
9,264.80
10,341.70
11,335.50
12,224.20
13,302.60
14,295.00
15,314.60
16,239.00
17,345.40
18,377.90
19,264.10
20,354.00
21,354.40
22,350.30
23,330.30
24,256.70
25,260.70
26,256.00
27,281.10
28,247.10
29,260.00
30,299.10
31,243.50
32,226.40
33,372.90
34,301.80
35,341.60
36,249.40
37,375.80
38,347.70
39,235.30
40,340.20
41,344.00
42,293.00
43,242.40
44,291.20
45,279.50
46,289.10
47,353.60
48,276.60
49,261.50
50,347.70
51,260.00
52,255.70
53,352.50
54,373.80
55,299.80
56,209.20
57,341.00
58,343.80
59,258.50
60,224.00
61,277.40
62,374.20
63,269.10
64,295.90
65,315.20
66,284.70
67,373.50
68,201.50
69,367.80
70,395.60
71,305.50
72,312.90
73,238.80
74,398.30
75,228.30
76,300.90
77,382.10
78,208.20
79,288.50
80,300.30
81,230.50
82,357.80
83,226.40
84,320.30
85,268.70
86,214.50
87,381.00
88,272.90
89,336.20
90,293.60
91,321.80
92,283.40
93,237.60
94,365.10
95,298.20
96,264.70
97,256.80
98,327.50
99,379.90
100,261.90
101,279.40
102,293.40
103,340.40
104,240.70
105,318.30
106,292.90
107,308.40
108,245.10
109,394.50
110,328.00
111,229.20
112,333.30
113,245.80
114,399.80
115,378.40
116,329.60
117,352.00
118,366.10
119,212.60
120,338.10
121,306.00
122,260.10
123,203.70
124,239.50
125,235.80
126,237.20
127,305.10
128,213.80
129,209.60
130,235.60
131,274.60
132,232.20
133,244.90
134,306.50
135,378.80
136,394.20
137,326.60
138,259.30
139,204.30
140,367.80
141,390.40
142,318.90
143,235.40
144,263.30
145,379.60
146,315.10
147,367.90
148,292.40
149,388.40
150,281.90
151,395.20
152,252.50
153,227.00
154,318.50
155,362.50
156,220.80
157,328.40
158,305.30
159,352.60
160,390.50
161,213.50
162,301.90
163,270.90
164,256.90
165,242.20
166,212.30
167,334.70
168,271.70
169,232.20
170,355.20
171,200.10
172,243.70
173,381.30
174,269.60
175,320.50
176,332.10
177,337.60
178,269.90
179,240.70
180,332.40
181,357.60
182,382.60
183,359.40
184,360.60
185,275.90
186,268.00
187,255.20
188,304.00
189,284.70
190,360.40
191,218.30
192,392.90
193,243.60
194,286.30
